team,url,name,SKU,price,color,detail
Chicago Cubs,http://shop.neweracap.com/style/2016-MLB-Youth-WS-CHAMP-59FIFTY-AC-Patch-Cap/20901430,Chicago Cubs 2016 MLB Youth World Series Champ 59FIFTY AC Patch Cap,20901430,$29.99,RoyalBlue,"Made of 100% Polyester, Woven"
Golden State Warriors,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876268,Golden State Warriors NBA Kids Black White 59FIFTY Cap,20876268,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Toronto Raptors,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876287,Toronto Raptors NBA Kids Black White 59FIFTY Cap,20876287,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Portland Trail Blazers,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876285,Portland Trail Blazers NBA Kids Black White 59FIFTY Cap,20876285,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Philadelphia 76ers,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876282,Philadelphia 76ers NBA Kids Black White 59FIFTY Cap,20876282,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Utah Jazz,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876281,Utah Jazz NBA Kids Black White 59FIFTY Cap,20876281,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Orlando Magic,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876280,Orlando Magic NBA Kids Black White 59FIFTY Cap,20876280,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Oklahoma City Thunder,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876279,Oklahoma City Thunder NBA Kids Black White 59FIFTY Cap,20876279,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
New Orleans Pelicans,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876277,New Orleans Pelicans NBA Kids Black White 59FIFTY Cap,20876277,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Minnesota Timberwolves,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876276,Minnesota Timberwolves NBA Kids Black White 59FIFTY Cap,20876276,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Miami Heat,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876274,Miami Heat NBA Kids Black White 59FIFTY Cap,20876274,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Memphis Grizzlies,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876273,Memphis Grizzlies NBA Kids Black White 59FIFTY Cap,20876273,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Los Angeles Lakers,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876272,Los Angeles Lakers NBA Kids Black White 59FIFTY Cap,20876272,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Los Angeles Clippers,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876271,Los Angeles Clippers NBA Kids Black White 59FIFTY Cap,20876271,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Indiana Pacers,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876270,Indiana Pacers NBA Kids Black White 59FIFTY Cap,20876270,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
Houston Rockets,http://shop.neweracap.com/style/NBA-Kids-Black-White-59FIFTY-Cap/20876269,Houston Rockets NBA Kids Black White 59FIFTY Cap,20876269,$24.99,Black,"Made of 70% Acrylic, Woven, 30% Wool, Woven"
