team,url,name,detail,SKU,color,price
Texas Longhorns,http://shop.neweracap.com/style/NCAA-Youth-State-Clip-Snapback-Cap/20885145,Texas Longhorns NCAA Youth State Clip 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20885145,Texas Orange/Black,$24.99
San Jose Sharks,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877029,San Jose Sharks NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877029,Black,$24.99
New Jersey Devils,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877024,New Jersey Devils NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877024,Black,$24.99
Detroit Red Wings,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877021,Detroit Red Wings NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877021,Red,$24.99
Chicago Blackhawks,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877018,Chicago Blackhawks NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877018,Black,$24.99
Tampa Bay Lightning,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877032,Tampa Bay Lightning NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877032,RoyalBlue,$24.99
San Jose Sharks,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877030,San Jose Sharks NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20877030,Teal,$24.99
Pittsburgh Penguins,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877028,Pittsburgh Penguins NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877028,Black,$24.99
Los Angeles Kings,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877023,Los Angeles Kings NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877023,Black,$24.99
Buffalo Sabres,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877017,Buffalo Sabres NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877017,Navy,$24.99
St. Louis Blues,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877031,St. Louis Blues NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877031,Navy,$24.99
Philadelphia Flyers,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877027,Philadelphia Flyers NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877027,Black,$24.99
New York Rangers,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877026,New York Rangers NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877026,RoyalBlue,$24.99
New York Islanders,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877025,New York Islanders NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877025,RoyalBlue,$24.99
Florida Panthers,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877022,Florida Panthers NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877022,LightNavy,$24.99
Chicago Blackhawks,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877019,Chicago Blackhawks NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877019,Red,$24.99
Boston Bruins,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877016,Boston Bruins NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877016,Black,$24.99
Arizona Coyotes,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877015,Arizona Coyotes NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877015,Maroon,$24.99
Anaheim Ducks,http://shop.neweracap.com/style/NHL-Youth-All-Day-9FIFTY-Snapback-Cap/20877014,Anaheim Ducks NHL Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20877014,Black,$24.99
Alabama Crimson Tide,http://shop.neweracap.com/style/NCAA-My-1st-9FIFTY-Snapback-Cap/20870975,Alabama Crimson Tide NCAA My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20870975,Crimson,$17.99
Georgia Bulldogs,http://shop.neweracap.com/style/NCAA-My-1st-9FIFTY-Snapback-Cap/20870971,Georgia Bulldogs NCAA My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20870971,Black,$17.99
Michigan Wolverines,http://shop.neweracap.com/style/NCAA-My-1st-9FIFTY-Snapback-Cap/20870964,Michigan Wolverines NCAA My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20870964,Navy,$17.99
California Golden Bears,http://shop.neweracap.com/style/NCAA-My-1st-9FIFTY-Snapback-Cap/20870974,California Golden Bears NCAA My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20870974,Navy/Gold,$17.99
Clemson Tigers,http://shop.neweracap.com/style/NCAA-My-1st-9FIFTY-Snapback-Cap/20870973,Clemson Tigers NCAA My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20870973,Orange,$17.99
