team,url,name,detail,SKU,color,price
Chicago Cubs,http://shop.neweracap.com/style/2016-World-Series-LR-Youth-Cap/20899376,Chicago Cubs 2016 MLB Youth World Series Locker Room Cap,"Made of 100% Polyester, Woven",20899376,Heather Charcoal/Black,$27.99
New Era,http://shop.neweracap.com/style/Super-Bowl-LI-Kids-NEO-39THIRTY-Cap/20869607,New Era Super Bowl LI Kids NEO 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20869607,Black,$24.99
Dallas Cowboys,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20847039,Dallas Cowboys 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20847039,Navy/Gray,$25.99
San Francisco 49ers,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841756,San Francisco 49ers 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841756,Red/Black,$24.99
Denver Broncos,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841738,Denver Broncos 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841738,Orange/Navy,$24.99
New England Patriots,http://shop.neweracap.com/style/2016-NFL-Sideline-Classic-39THIRTY-Cap/20841774,New England Patriots 2016 NFL Sideline Classic 39THIRTY Cap,"Made of 100% Polyester, Woven",20841774,Navy/Red,$24.99
Seattle Seahawks,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841758,Seattle Seahawks 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841758,Navy/Lime,$24.99
Philadelphia Eagles,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841752,Philadelphia Eagles 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841752,Green/Black,$24.99
New York Giants,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841749,New York Giants 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841749,RoyalBlue/Red,$24.99
New England Patriots,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841747,New England Patriots 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841747,Navy/Gray,$24.99
Miami Dolphins,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841745,Miami Dolphins 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841745,Aqua/Orange,$24.99
Green Bay Packers,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841740,Green Bay Packers 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841740,Green/Yellow,$24.99
Arizona Cardinals,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841728,Arizona Cardinals 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841728,Maroon/Black,$24.99
Los Angeles Rams,http://shop.neweracap.com/style/2016-NFL-Sideline-Classic-39THIRTY-Cap/20841777,Los Angeles Rams 2016 NFL Sideline Classic 39THIRTY Cap,"Made of 100% Polyester, Woven",20841777,RoyalBlue/Yellow,$24.99
Indianapolis Colts,http://shop.neweracap.com/style/2016-NFL-Sideline-Classic-39THIRTY-Cap/20841772,Indianapolis Colts 2016 NFL Sideline Classic 39THIRTY Cap,"Made of 100% Polyester, Woven",20841772,RoyalBlue/White,$24.99
Green Bay Packers,http://shop.neweracap.com/style/2016-NFL-Sideline-Classic-39THIRTY-Cap/20841770,Green Bay Packers 2016 NFL Sideline Classic 39THIRTY Cap,"Made of 100% Polyester, Woven",20841770,Navy/Yellow,$24.99
Buffalo Bills,http://shop.neweracap.com/style/2016-NFL-Sideline-Classic-39THIRTY-Cap/20841767,Buffalo Bills 2016 NFL Sideline Classic 39THIRTY Cap,"Made of 100% Polyester, Woven",20841767,RoyalBlue/Red,$24.99
Washington Redskins,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841762,Washington Redskins 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841762,Maroon/Yellow,$24.99
Tennessee Titans,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841761,Tennessee Titans 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841761,Navy/LightBlue,$24.99
Tampa Bay Buccaneers,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841760,Tampa Bay Buccaneers 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841760,Red/Black,$24.99
Los Angeles Rams,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841759,Los Angeles Rams 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841759,Navy/Gold,$24.99
San Francisco 49ers,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841757,San Francisco 49ers 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841757,Black/Black,$24.99
San Diego Chargers,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841755,San Diego Chargers 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841755,Navy/LightBlue,$24.99
Pittsburgh Steelers,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841754,Pittsburgh Steelers 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841754,Black/Black,$24.99
Oakland Raiders,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841751,Oakland Raiders 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841751,Black/Gray,$24.99
New York Jets,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841750,New York Jets 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841750,Green/Green,$24.99
New Orleans Saints,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841748,New Orleans Saints 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841748,Black/Gold,$24.99
Minnesota Vikings,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841746,Minnesota Vikings 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841746,Purple/Yellow,$24.99
Kansas City Chiefs,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841744,Kansas City Chiefs 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841744,Red/Yellow,$24.99
Jacksonville Jaguars,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841743,Jacksonville Jaguars 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841743,Black/Teal,$24.99
Indianapolis Colts,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841742,Indianapolis Colts 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841742,RoyalBlue/RoyalBlue,$24.99
Houston Texans,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841741,Houston Texans 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841741,Navy/Navy,$24.99
Detroit Lions,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841739,Detroit Lions 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841739,LightBlue/Gray,$24.99
Cleveland Browns,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841737,Cleveland Browns 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841737,Brown/Orange,$24.99
Cincinnati Bengals,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841736,Cincinnati Bengals 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841736,Black/Orange,$24.99
Chicago Bears,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841735,Chicago Bears 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841735,Navy/Orange,$24.99
Chicago Bears,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841734,Chicago Bears 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841734,Navy/Orange,$24.99
Carolina Panthers,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841733,Carolina Panthers 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841733,LightBlue/Black,$24.99
Buffalo Bills,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841732,Buffalo Bills 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841732,RoyalBlue/Red,$24.99
Baltimore Ravens,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841731,Baltimore Ravens 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841731,Black/Black,$24.99
Atlanta Falcons,http://shop.neweracap.com/style/2016-Kids-Official-NFL-Sideline-39THIRTY-Cap/20841730,Atlanta Falcons 2016 Kids Official NFL Sideline 39THIRTY Cap,"Made of 100% Polyester, Woven",20841730,Black/Red,$24.99
New York Jets,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839931,New York Jets 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 98% Polyester, Woven, 2% Spandex, Woven",20839931,Green/Heather/Reflective Silver,$24.99
Buffalo Bills,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839913,Buffalo Bills 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 98% Polyester, Woven, 2% Spandex, Woven",20839913,RoyalBlue/Gray/Reflective Silver,$24.99
Dallas Cowboys,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20847013,Dallas Cowboys 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 98% Polyester, Woven, 2% Spandex Blend, Woven",20847013,Navy/Gray/Reflective Silver,$25.99
Seattle Seahawks,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839937,Seattle Seahawks 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20839937,Navy/Gray/Reflective Silver,$24.99
Houston Texans,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839921,Houston Texans 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20839921,Red/Gray/Reflective Silver,$24.99
Green Bay Packers,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839920,Green Bay Packers 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 96% Polyester, Woven, 4% Spandex, Woven",20839920,Green/Heather/Reflective Silver,$24.99
Washington Redskins,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839942,Washington Redskins 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20839942,Maroon/Gray/Reflective Silver,$24.99
Tennessee Titans,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839941,Tennessee Titans 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20839941,Navy/Gray/Reflective Silver,$24.99
Tampa Bay Buccaneers,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839940,Tampa Bay Buccaneers 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 98% Polyester, Woven, 2% Spandex Blend, Woven",20839940,Red/Gray/Reflective Silver,$24.99
Los Angeles Rams,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839939,Los Angeles Rams 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 96% Polyester, Woven, 4% Spandex, Woven",20839939,Navy/Heather/Reflective Silver,$24.99
San Francisco 49ers,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839936,San Francisco 49ers 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20839936,Red/Gray/Reflective Silver,$24.99
San Diego Chargers,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839935,San Diego Chargers 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 96% Polyester, Woven, 4% Spandex, Woven",20839935,Navy/Gray/Reflective Silver,$24.99
Pittsburgh Steelers,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839934,Pittsburgh Steelers 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 98% Polyester, Woven, 2% Spandex, Woven",20839934,Black/Heather/Reflective Silver,$24.99
Philadelphia Eagles,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839933,Philadelphia Eagles 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 96% Polyester, Woven, 4% Spandex, Woven",20839933,Green/Heather/Reflective Silver,$24.99
Oakland Raiders,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839932,Oakland Raiders 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20839932,Black/Gray/Reflective Silver,$24.99
New York Giants,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839930,New York Giants 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 96% Polyester, Woven, 4% Spandex, Woven",20839930,RoyalBlue/Heather/Reflective Silver,$24.99
New Orleans Saints,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839929,New Orleans Saints 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20839929,Black/Gray/Reflective Silver,$24.99
New England Patriots,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839928,New England Patriots 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 96% Polyester, Woven, 4% Spandex, Woven",20839928,Navy/Heather/Reflective Silver,$24.99
Minnesota Vikings,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839927,Minnesota Vikings 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 96% Polyester, Woven, 4% Spandex, Woven",20839927,Purple/Heather/Reflective Silver,$24.99
Miami Dolphins,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839926,Miami Dolphins 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 96% Polyester, Woven, 4% Spandex, Woven",20839926,Aqua/Heather/Reflective Silver,$24.99
