team,url,name,detail,SKU,RoyalBlue,price
Chicago Cubs,http://shop.neweracap.com/style/MLB-World-Series-Trophy-59FIFTY-Cap/20900092,Chicago Cubs MLB World Series Trophy 59FIFTY Cap,"Made of 100% Polyester, Woven",20900092,RoyalBlue,$39.99
Seattle Seahawks,http://shop.neweracap.com/style/NFL-Made-in-America-59FIFTY-Cap/20881665,Seattle Seahawks NFL Crafted in America 59FIFTY Cap,"Made of 100% Polyester, Woven",20881665,Black/Lime,$37.99
Oakland Raiders,http://shop.neweracap.com/style/NFL-Made-in-America-59FIFTY-Cap/20881660,Oakland Raiders NFL Crafted in America 59FIFTY Cap,"Made of 100% Polyester, Woven",20881660,Black/Black,$37.99
New England Patriots,http://shop.neweracap.com/style/NFL-Made-in-America-59FIFTY-Cap/20881656,New England Patriots NFL Crafted in America 59FIFTY Cap,"Made of 100% Polyester, Woven",20881656,Black/Navy,$37.99
Denver Broncos,http://shop.neweracap.com/style/NFL-Made-in-America-59FIFTY-Cap/20881646,Denver Broncos NFL Crafted in America 59FIFTY Cap,"Made of 100% Polyester, Woven",20881646,Black/Orange,$37.99
Pittsburgh Steelers,http://shop.neweracap.com/style/NFL-Made-in-America-59FIFTY-Cap/20881662,Pittsburgh Steelers NFL Crafted in America 59FIFTY Cap,"Made of 100% Polyester, Woven",20881662,Black/Yellow,$37.99
Los Angeles Rams,http://shop.neweracap.com/style/NFL-Made-in-America-59FIFTY-Cap/20881653,Los Angeles Rams NFL Crafted in America 59FIFTY Cap,"Made of 100% Polyester, Woven",20881653,Black/Navy,$37.99
Carolina Panthers,http://shop.neweracap.com/style/NFL-Made-in-America-59FIFTY-Cap/20881642,Carolina Panthers NFL Crafted in America 59FIFTY Cap,"Made of 100% Polyester, Woven",20881642,Black/LightBlue,$37.99
Low Profile,http://shop.neweracap.com/style/2016-MLB-WS-CHAMP-59FIFTY-AC-Patch-Cap/20901416,"Chicago Cubs ""Low Profile"" 2016 MLB World Series Champ 59FIFTY AC Patch Cap","Made of 100% Polyester, Woven",20901416,RoyalBlue,$37.99
New York Yankees,http://shop.neweracap.com/style/MLB-Cardnial-Gray-59FIFTY-Cap/20881878,New York Yankees MLB Cardnial Gray 59FIFTY Cap,"Made of 100% Polyester, Woven",20881878,Cardinal Red,$34.99
San Francisco Giants,http://shop.neweracap.com/style/MLB-Cardnial-Gray-59FIFTY-Cap/20881883,San Francisco Giants MLB Cardnial Gray 59FIFTY Cap,"Made of 100% Polyester, Woven",20881883,Cardinal Red,$34.99
