team,url,name,detail,SKU,color,price
Chicago Cubs,http://shop.neweracap.com/style/MLB-World-Series-Trophy-9FIFTY-Snapback-Cap/20900091,Chicago Cubs MLB World Series Trophy 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20900091,Black,$35.99
New England Patriots,http://shop.neweracap.com/style/NFL-Made-in-America-9FIFTY-Snapback-Cap/20881614,New England Patriots NFL Crafted in America 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881614,Black/Navy,$33.99
New England Patriots,http://shop.neweracap.com/style/NFL-Made-in-America-9FIFTY-Snapback-Cap/20881613,New England Patriots NFL Crafted in America 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881613,Black/Navy,$33.99
Washington Redskins,http://shop.neweracap.com/style/NFL-Made-in-America-9FIFTY-Snapback-Cap/20881629,Washington Redskins NFL Crafted in America 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881629,Black/Maroon,$33.99
Oakland Raiders,http://shop.neweracap.com/style/NFL-Made-in-America-9FIFTY-Snapback-Cap/20881619,Oakland Raiders NFL Crafted in America 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881619,Black/Black,$33.99
New York Jets,http://shop.neweracap.com/style/NFL-Made-in-America-9FIFTY-Snapback-Cap/20881617,New York Jets NFL Crafted in America 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881617,Black/Green,$33.99
Miami Dolphins,http://shop.neweracap.com/style/NFL-Made-in-America-9FIFTY-Snapback-Cap/20881611,Miami Dolphins NFL Crafted in America 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881611,Black/Aqua,$33.99
Indianapolis Colts,http://shop.neweracap.com/style/NFL-Made-in-America-9FIFTY-Snapback-Cap/20881606,Indianapolis Colts NFL Crafted in America 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881606,Black/RoyalBlue,$33.99
Chicago Bears,http://shop.neweracap.com/style/NFL-Made-in-America-9FIFTY-Snapback-Cap/20881597,Chicago Bears NFL Crafted in America 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881597,Black/Orange,$33.99
Buffalo Bills,http://shop.neweracap.com/style/NFL-Made-in-America-9FIFTY-Snapback-Cap/20881594,Buffalo Bills NFL Crafted in America 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20881594,Black/RoyalBlue,$33.99
