team,url,name,detail,SKU,color,price
Oakland Raiders,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895047,Oakland Raiders NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895047,Black,$29.99
New York Giants,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895045,New York Giants NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895045,RoyalBlue,$29.99
San Francisco 49ers,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895051,San Francisco 49ers NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895051,Red,$29.99
Denver Broncos,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895033,Denver Broncos NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895033,Navy,$29.99
Carolina Panthers,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895029,Carolina Panthers NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895029,LightBlue,$29.99
Baltimore Ravens,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895027,Baltimore Ravens NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895027,Purple,$29.99
Seattle Seahawks,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895052,Seattle Seahawks NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895052,Navy,$29.99
Pittsburgh Steelers,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895049,Pittsburgh Steelers NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895049,Black,$29.99
Philadelphia Eagles,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895048,Philadelphia Eagles NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895048,Green,$29.99
New England Patriots,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895043,New England Patriots NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895043,Navy,$29.99
Minnesota Vikings,http://shop.neweracap.com/style/NFL-TC-Front-Neo-39THIRTY-Cap/20895042,Minnesota Vikings NFL TC Front Neo 39THIRTY Cap,"Made of 100% Polyester, Woven",20895042,Purple,$29.99
